event	weight	X(3872)_re	X(3872)_im	X(3915)(0-)_re	X(3915)(0-)_im	chi(c2)(3930)_re	chi(c2)(3930)_im	X(3940)(1.)_re	X(3940)(1.)_im	X(3993)_re	X(3993)_im	Psi(4040)_re	Psi(4040)_im	X(4300)_re	X(4300)_im	NR(0-)SPp_re	NR(0-)SPp_im	NR(1.)PSp_re	NR(1.)PSp_im	NR(0-)SPm_re	NR(0-)SPm_im	NR(1-)PPm_re	NR(1-)PPm_im	X0(2900)_re	X0(2900)_im	X1(2900)_re	X1(2900)_im	total_re	total_im
11	5.316390306890065	0.17428802761759113	0.051365032353596345	0.04907666131091632	0.12982448969890234	0.06562632643150848	-0.1364567253540095	-0.05152793182810997	-0.20280708865209632	0.003951984580997048	0.6737090600735354	-0.11372953151971471	-0.15048170456404958	-0.00835201066035157	-0.003813903874850767	0.08287501785410308	0.06520898415851539	0.3094117673576046	0.015929537565139124	-0.04179333897572473	-0.00023057087371888832	-0.08445214873617819	-0.2173989955977778	0.01697974147862007	0.0018746589572824059	0.012507575784799725	-0.020357340319433495	0.4148621406960613	0.20636543357103465
12	3.3085615984760715	0.29584766840888965	-0.11467729213900715	-0.057296020684051985	-0.13053300914397442	0.013939227292465309	-0.028901802833999478	-0.2698502001486274	-0.35661550123626706	0.14139134337981102	0.590480252708236	0.037879948029830884	0.038101461153189714	-0.016900068348578507	-0.006938697514336369	-0.07486242180998018	-0.06228006029859637	0.4011629840349281	0.020653192599950528	0.03894799480697076	0.00021487331264578025	0.02734266814788653	0.07038623269235347	0.13116746534226992	-0.0059240529905617454	-0.0793781563910545	-0.24528357942829282	0.5893924320607598	-0.23131798311865992
13	4.52628869950534	-0.0414423979327292	0.011140525800640321	-0.010340421738043594	0.03619679303485707	0.0018070612589471892	-0.0029517100533185724	-0.012530139879263146	0.03564786052072928	0.03496517489322971	0.010501023175352536	-0.004914687200255182	-0.0004138349447265481	-0.019764990524451746	-0.003632571547618935	0.18052369835347015	-0.19977682673633532	-0.34826796356494977	-0.017929982610940996	-0.06451614579185073	-0.0003559309801220363	0.022213681742866753	0.057183057763445004	0.050215743381232344	0.014273408331153935	-0.0037193660235657947	0.014322125331612336	-0.215770753025363	-0.045796062915271926
14	3.5412245496973913	0.039846412330929025	-0.03192258838866376	0.013329785106488507	-0.056855865341786625	0.00029118162172371375	-0.0005140575367277164	0.006651526542425987	-0.04328360173118039	-0.021602802307893222	-0.007783688908028407	-0.003130869873757903	-0.0001728429870734333	0.03465128610662157	0.0019902153887806726	-0.2739918129682188	0.16660674847441106	0.2391540748265456	0.012312439993281077	0.0846614113954604	0.0004670709752830189	0.011246572257709472	0.0289512291792816	-0.1269910508138659	-0.05333911316359794	0.023419587384434375	-0.03147138713077424	0.027535301608602857	-0.015015441176795104
15	3.6433471725740487	-0.0003123631146583067	0.1646812201302945	-0.012505605155539291	0.06962711295724416	-0.011439165816540222	0.021696633628724146	0.03694759575067042	0.06423829284728022	-0.11321530378131774	-0.014707686223352938	-0.01672337140864022	-0.000294809961796805	-0.0905548118041705	0.04951352799588349	0.28704303147984284	-0.08671304935570143	0.2766368087013861	0.014242174671449613	-0.08616451187481235	-0.00047536347354482946	0.04662149328508039	0.12001430354492708	-0.06733657224762807	-0.004256826298803918	-0.0070058235995389476	-0.13186310116576702	0.2419914004141342	0.2657024292968362
16	3.252447089717988	0.09983732554091092	-0.11162189658561746	0.0008366891770820891	0.013079313833271081	0.02193163490817848	-0.04809518864489236	-0.023798136171491777	-0.14354506363860758	-0.06181515917177068	-0.013141399700660672	-0.1808870202176578	0.07128348310608734	-0.022975203557976352	-0.01035799153037555	0.02043879070350746	0.007865390449853613	0.2190834045343835	0.011279135736281039	-0.007851595344996234	-4.331669216078817e-5	0.1451768677324374	0.3737182025724217	0.06645024216925437	-0.025762814553158923	-0.043778453589177424	0.058343693606276434	0.23264938671268398	0.18300154795871787
17	11.650800939280575	0.011651181784587659	-0.016200831159711004	-0.00036772445039703997	0.0009783535324062976	0.002005356299427646	-0.002798847794160644	0.0018072999454078371	-0.014932657531161441	-0.0016080777686149198	-0.0015012522122015313	-0.005991500925534551	-0.0007521461791196841	0.005239763230505769	0.0011552419648082992	0.0007209171304089909	-0.012735764448491886	0.09106299674100288	0.004688223204204826	-0.002435413210754149	-1.3436001181821578e-5	0.040189368940941564	0.10345655583925187	-7.919783874535281e-5	-1.8198330383722124e-5	0.00397750486124319	-0.0033999186277297562	0.1461724747394795	0.05792532225652979
18	3.257557431229789	0.037794025544342934	0.016271030299922034	-0.012714864196250984	0.07778832417359238	0.0003446448366842445	-0.0006659624656973383	0.015180114744342298	-0.024191520221751722	-0.055169400374522885	-0.011279718217853065	0.0015659790064714255	7.636115109852335e-6	0.04428879933165401	-0.04666644670618354	0.30278180929603626	-0.07037091164589133	0.2550254478459353	0.013129550586332637	-0.09129071048021523	-0.0005036443460539826	-0.0040440043292159725	-0.010410184850489137	-0.17458334333832326	0.036881404300410925	-0.03978827267839545	-0.048919482229536446	0.2793902252085427	-0.06892992520808873
19	3.810148864952274	-0.12465474655331837	0.09663049144315587	-0.0007457586588808377	-0.02780235937278561	-0.01814688245011873	0.0396309560088045	0.00763093126152474	0.15730078474454068	0.11176606543856751	0.017199814348848125	-0.08030567832805664	0.022018437492538824	0.031873959235291904	0.015529772607687623	-0.05015723880588544	-0.015603751260282307	-0.34105091779295793	-0.01755842530814003	0.018422352939804258	0.00010163480873723949	0.07810785637584329	0.20106734735015175	-0.026527990742899223	-0.0020403846384364154	-0.012583899998612803	-0.00419903691966609	-0.40637194807969834	0.4822752813051542
20	4.670259274895657	-0.0071718016418094565	0.008137244853644579	-1.8277374868161548e-5	0.00012015598088071711	0.020113451222598895	-0.039347811033958506	-0.00021996950196510618	0.008995253721533116	0.002611132034998269	0.0011769867979725909	-0.029450715525923786	0.00013641462029050642	-0.004537968549493343	0.02230366698326688	0.0004483365393811495	-8.391455151581637e-5	-0.029286229519544956	-0.001507751619329005	-0.00013591157384856476	-7.498144704105775e-7	0.07203429533931593	0.18543262296714488	0.0013647091886588706	0.00038084735171072567	0.008340557798629009	0.0005826045194973566	0.034091608436128754	0.18632557077666762
